region,industry,tax_people_count,tax_base,zero_tax_base,pay_tax,refund_tax,final_tax
세종,대리중개도급 등,4163.0,225497.0,,11897.0,1339.0,10558.0
세종,기타서비스업,,,,,,
광주,농업·임업·어업,38.0,1582.0,0.0,119.0,13.0,106.0
광주,광업,5.0,418.0,-16865.0,25.0,-4407.0,4432.0
광주,제조업,6335.0,852266.0,0.0,37209.0,1071.0,36138.0
광주,전기·가스·수도업,1925.0,30773.0,50309.0,2806.0,8160.0,-5354.0
광주,도매업,10792.0,1650125.0,12067.0,39525.0,4954.0,34571.0
광주,소매업,13048.0,1561173.0,-1173.0,21931.0,1417.0,20514.0
광주,부동산임대업,290.0,3191.0,28.0,190.0,6737.0,-6547.0
광주,건설업,12715.0,933746.0,-70.0,56166.0,3032.0,53134.0
광주,음식업,14685.0,2096199.0,-4533.0,58171.0,254.0,57917.0
광주,숙박업,305.0,31638.0,4340.0,1346.0,4120.0,-2774.0
광주,운수창고통신업 등,9632.0,492493.0,,25549.0,3968.0,21581.0
광주,부동산임대업 외,20686.0,390893.0,,35888.0,1149.0,34739.0
광주,대리중개도급 등,6836.0,351737.0,,18785.0,5625.0,13160.0
광주,기타서비스업,16048.0,956856.0,,51275.0,,
전북,농업·임업·어업,278.0,6088.0,2332.0,469.0,327.0,142.0
전북,광업,16.0,8127.0,-92289.0,456.0,3.0,453.0
전북,제조업,7739.0,1128524.0,0.0,48823.0,6371.0,42452.0
전북,전기·가스·수도업,40720.0,443362.0,98982.0,40764.0,12177.0,28587.0
전북,도매업,11650.0,1829233.0,74614.0,43048.0,10661.0,32387.0
전북,소매업,17962.0,2562684.0,-6382.0,34357.0,13931.0,20426.0
전북,부동산임대업,428.0,3771.0,72.0,295.0,301.0,-6.0
전북,건설업,17932.0,1205400.0,21.0,68955.0,7542.0,61413.0
전북,음식업,17880.0,2350692.0,316.0,68018.0,3230.0,64788.0
전북,숙박업,1268.0,86280.0,2.0,4168.0,1100.0,3068.0
전북,운수창고통신업 등,12222.0,682169.0,1959.0,34835.0,5665.0,29170.0
전북,부동산임대업 외,19579.0,297788.0,7145.0,27426.0,5633.0,21793.0
전북,대리중개도급 등,6337.0,346888.0,,15776.0,1191.0,14585.0
전북,기타서비스업,14589.0,921717.0,,49079.0,4874.0,44205.0
전남,농업·임업·어업,432.0,9874.0,252.0,627.0,133.0,494.0
전남,광업,25.0,1113.0,-52541.0,68.0,44.0,24.0
전남,제조업,6693.0,841975.0,0.0,38754.0,6483.0,32271.0
전남,전기·가스·수도업,27006.0,307001.0,156702.0,27762.0,10514.0,17248.0
전남,도매업,11292.0,1503174.0,104458.0,38789.0,15522.0,23267.0
전남,소매업,15628.0,2205523.0,-6655.0,27173.0,13337.0,13836.0
전남,부동산임대업,264.0,42140.0,9.0,4057.0,587.0,3470.0
전남,건설업,19430.0,1192234.0,-2536.0,72115.0,8640.0,63475.0
전남,음식업,19603.0,2407326.0,349.0,70256.0,2845.0,67411.0
전남,숙박업,1771.0,125617.0,1430.0,6334.0,1108.0,5226.0
전남,운수창고통신업 등,15400.0,955398.0,25455.0,51619.0,8369.0,43250.0
전남,부동산임대업 외,21281.0,272662.0,,25243.0,7270.0,17973.0
전남,대리중개도급 등,4948.0,266721.0,,13686.0,1012.0,12674.0
전남,기타서비스업,13253.0,792676.0,,43200.0,4144.0,39056.0
대구,농업·임업·어업,56.0,1861.0,0.0,137.0,16.0,121.0
대구,광업,3.0,-5003262.0,-352569.0,-203938.0,0.0,-203938.0
대구,제조업,23909.0,32345.0,0.0,2744.0,24423.0,-21679.0
대구,전기·가스·수도업,2437.0,4520156.0,188568.0,101590.0,4057.0,97533.0
대구,도매업,21916.0,3843693.0,41369.0,46480.0,21147.0,25333.0
대구,소매업,24693.0,8531.0,-6189.0,640.0,12115.0,-11475.0
대구,부동산임대업,785.0,1437356.0,473.0,80532.0,790.0,79742.0
대구,건설업,17915.0,3092383.0,-1143.0,90907.0,7563.0,83344.0
대구,음식업,22692.0,76389.0,32.0,4130.0,5319.0,-1189.0
대구,숙박업,525.0,715008.0,13608.0,35681.0,915.0,34766.0
대구,운수창고통신업 등,14547.0,799429.0,15412.0,72823.0,4329.0,68494.0
대구,부동산임대업 외,38224.0,633955.0,,35912.0,9986.0,25926.0
대구,대리중개도급 등,10413.0,1578786.0,,86364.0,1434.0,84930.0
대구,기타서비스업,23249.0,,,,7838.0,
경북,농업·임업·어업,476.0,22416.0,306.0,1533.0,279.0,1254.0
